# Direct public reference output: ESO Paranal ASM nighttime time series for the demo atmosphere anchor.
# data_kind=eso_asm_timeseries
# source_class=direct_public_data
# source_note=ESO Paranal ASM API direct JSON query over 2024-07-29T03:00:00Z to 2024-07-29T08:00:00Z; fields dimm_paranal-fwhm,mass_paranal-tau0,mass_paranal-tet0,mass_paranal-turb_speed.
# source_id=ESO_ASM_PARANAL_20240729_0300_0800_TIMESERIES
# url=https://www.eso.org/asm/api/?from=2024-07-29T03%3A00%3A00Z&to=2024-07-29T08%3A00%3A00Z&fields=dimm_paranal-fwhm%2Cmass_paranal-tau0%2Cmass_paranal-tet0%2Cmass_paranal-turb_speed
# query_url=https://www.eso.org/asm/api/?from=2024-07-29T03%3A00%3A00Z&to=2024-07-29T08%3A00%3A00Z&fields=dimm_paranal-fwhm%2Cmass_paranal-tau0%2Cmass_paranal-tet0%2Cmass_paranal-turb_speed
# utc_start=2024-07-29T03:00:00Z
# utc_end=2024-07-29T08:00:00Z
# local_time_note=approximately 23:00-04:00 CLT for Chile winter
# night_window_class=nighttime
# fields=dimm_paranal-fwhm,mass_paranal-tau0,mass_paranal-tet0,mass_paranal-turb_speed
# access_time=2026-06-22T20:49:48+00:00
# fallback_used=false
# time_unit=ms_unix
# seeing_unit=arcsec
# tau0_unit=s
# theta0_unit=arcsec
# turbulence_speed_unit=m/s
unix_time_ms,seeing_arcsec_500nm,tau0_s,theta0_arcsec,turbulence_speed_ms
1722222037000,0.717,0.003544,1.899,11.81
1722222126000,0.738,0.00372,1.961,10.92
1722222206000,0.716,0.003646,1.938,11.64
1722222285000,0.761,0.00325,1.876,11.78
1722222365000,0.773,0.003271,1.941,12.44
1722222444000,0.72,0.004181,2.276,10.01
1722222523000,0.803,0.004273,2.602,8.3
1722222603000,0.703,0.004394,2.462,9.48
1722222683000,0.705,0.004344,2.334,10.14
1722222762000,0.78,0.004133,2.334,9.3
1722222853000,0.726,0.004298,2.19,9.5
1722222933000,0.679,0.004365,2.314,10.84
1722223012000,0.701,0.004058,2.222,10.96
1722223091000,0.654,0.004357,2.44,9.81
1722223170000,0.716,0.004046,2.392,9.83
1722223250000,0.717,0.004031,2.434,9.77
1722223330000,0.743,0.003505,2.199,11.61
1722223410000,0.737,0.004215,2.633,9.43
1722223489000,0.717,0.004,2.468,10.42
1722223568000,0.814,0.004052,2.45,9.1
1722223648000,0.735,0.004002,2.493,9.6
1722223736000,0.803,0.003926,2.394,9.25
1722223815000,0.79,0.004302,2.616,7.73
1722223895000,0.618,0.004552,2.629,10.42
1722223975000,0.787,0.004394,2.488,8.57
1722224054000,0.694,0.004452,2.552,10.08
1722224111000,0.687,0.003152,2.609,11.35
1722224711000,0.833,0.002857,1.894,11.38
1722224809000,0.923,0.002888,1.775,11.38
1722224888000,1.009,0.002913,1.747,10.03
1722224967000,1.006,0.002843,1.908,10.65
1722225047000,1.052,0.002932,1.784,10.75
1722225137000,0.976,0.002833,1.852,9.0
1722225216000,1.187,0.002745,1.777,9.42
1722225295000,1.109,0.002759,1.757,9.7
1722225376000,1.132,0.002849,1.756,10.82
1722225456000,1.018,0.003004,1.796,9.97
1722225535000,1.063,0.003518,1.831,9.34
1722225614000,0.919,0.003329,2.235,9.97
1722225693000,0.978,0.003077,2.081,9.83
1722225772000,1.055,0.00312,1.897,9.71
1722225899000,1.056,0.002822,1.905,9.11
1722225978000,1.192,0.00323,1.949,9.74
1722226058000,1.025,0.003252,1.925,9.48
1722226137000,0.995,0.003375,1.968,10.28
1722226216000,0.924,0.003466,1.965,9.35
1722226296000,0.947,0.003552,2.058,10.13
1722226375000,0.923,0.003291,2.044,8.91
1722226455000,1.034,0.003623,1.984,9.65
1722226534000,0.91,0.003976,2.096,8.97
1722226613000,1.025,0.004158,2.221,7.35
1722226693000,1.088,0.00355,2.379,7.9
1722226772000,1.109,0.003196,2.21,15.06
1722226853000,1.143,0.003618,2.267,12.84
1722226933000,1.202,0.003758,2.49,12.88
1722227040000,1.246,0.002855,2.605,13.01
1722227119000,1.131,0.003355,2.116,12.35
1722227198000,1.0,0.003467,2.476,12.95
1722227278000,1.184,0.003199,2.543,13.83
1722227357000,1.046,0.003423,2.46,13.12
1722227455000,0.99,0.003764,2.365,12.46
1722227534000,0.992,0.003661,2.703,10.94
1722227613000,0.846,0.002966,2.69,13.72
1722227703000,0.949,0.003412,2.264,12.81
1722227784000,0.894,0.003095,2.5,11.9
1722227863000,0.968,0.002831,2.258,12.16
1722227942000,0.775,0.003409,2.197,11.54
1722228022000,0.816,0.004162,2.414,10.32
1722228112000,0.807,0.004013,2.611,10.21
1722228191000,0.716,0.003844,2.575,10.99
1722228271000,1.338,0.003952,2.578,12.34
1722228943000,0.832,0.004078,2.545,10.37
1722229023000,0.809,0.003845,2.565,11.74
1722229086000,0.767,0.004118,2.415,10.41
1722230639000,0.664,0.003493,2.545,11.87
1722230718000,0.72,0.003069,2.175,12.13
1722230799000,0.682,0.003468,2.128,14.38
1722230878000,0.894,0.003251,2.127,13.18
1722230958000,0.772,0.00302,2.051,12.23
1722231037000,0.687,0.002531,1.956,15.99
1722231116000,0.712,0.002526,1.459,14.7
1722231195000,0.73,0.002347,1.555,15.2
1722231276000,0.65,0.002446,1.482,13.35
1722231355000,0.726,0.002434,1.562,12.93
1722231434000,0.759,0.002708,1.485,12.96
1722231514000,0.768,0.003124,1.556,12.83
1722231595000,0.848,0.002919,1.847,14.23
1722231674000,0.903,0.003193,1.692,12.39
1722231753000,0.797,0.003344,1.71,12.36
1722231832000,0.718,0.003527,1.946,10.52
1722231911000,0.736,0.004362,2.087,10.64
1722231990000,0.72,0.004836,2.157,11.04
1722232071000,0.656,0.004337,2.172,10.7
1722232151000,0.592,0.004523,2.163,12.01
1722232231000,0.593,0.004754,2.121,9.94
1722232310000,0.621,0.004495,2.239,12.18
1722232391000,0.671,0.005082,2.25,10.02
1722232470000,0.753,0.004612,1.979,11.29
1722232549000,0.6,0.004432,2.168,9.2
1722232629000,0.661,0.004202,2.034,11.49
1722232708000,0.666,0.004258,1.741,12.38
1722232787000,0.754,0.005219,1.907,10.78
1722232867000,0.768,0.003687,1.68,12.54
1722232946000,0.837,0.004018,1.832,10.94
1722233026000,0.859,0.003537,1.675,12.67
1722233106000,0.867,0.003902,1.722,11.65
1722233187000,0.799,0.003498,1.604,13.58
1722233266000,0.67,0.003086,1.603,13.92
1722233345000,0.665,0.003231,1.334,15.55
1722233433000,0.675,0.003235,1.227,13.36
1722233513000,0.656,0.002893,1.207,14.62
