# Direct public reference output: SVO Filter Profile Service 2MASS J curve converted from cached VOTable XML.
# data_kind=svo_filter_curve
# filter_id=2MASS/2MASS.J
# source_class=direct_public_data
# source_note=SVO Filter Profile Service direct download for 2MASS/2MASS.J; profile reference http://www.ipac.caltech.edu/2mass/releases/allsky/doc/sec6_4a.html#rsr; 2MASS canonical paper DOI 10.1086/498708.
# source_id=SVO_2MASS_J_DIRECT_20260622
# url=https://svo2.cab.inta-csic.es/theory/fps/fps.php?ID=2MASS%2F2MASS.J
# access_time=2026-06-22T20:49:48+00:00
# fallback_used=false
# wavelength_unit=m
# transmission_unit=dimensionless
wavelength_m,transmission
1.062e-06,0.0
1.066e-06,0.0004
1.0700000000000001e-06,0.0015
1.075e-06,0.0027000001
1.078e-06,0.0055
1.082e-06,0.0122999996
1.0840000000000001e-06,0.0203000009
1.0870000000000001e-06,0.0306000002
1.089e-06,0.0405000001
1.093e-06,0.0515000001
1.096e-06,0.056400001
1.102e-06,0.071800001
1.105e-06,0.2736000121
1.107e-06,0.3409999907
1.109e-06,0.3583999872
1.1120000000000001e-06,0.3801000118
1.116e-06,0.3307000101
1.117e-06,0.2395000011
1.12e-06,0.2500999868
1.123e-06,0.2833000124
1.128e-06,0.2581999898
1.1290000000000001e-06,0.2515000105
1.1320000000000001e-06,0.5381000042
1.134e-06,0.2231999934
1.138e-06,0.5368999839
1.14e-06,0.1102000028
1.1430000000000001e-06,0.5292000175
1.147e-06,0.2619000077
1.154e-06,0.3201999962
1.159e-06,0.1743000001
1.164e-06,0.6069999933
1.167e-06,0.6179000139
1.17e-06,0.6762999892
1.173e-06,0.7279000282
1.175e-06,0.7465000153
1.179e-06,0.8303999901
1.182e-06,0.7903000116
1.186e-06,0.8095999956
1.188e-06,0.8368999958
1.192e-06,0.8360000253
1.195e-06,0.7498999834
1.199e-06,0.7080000043
1.202e-06,0.6988000274
1.209e-06,0.7049000263
1.216e-06,0.7003999949
1.221e-06,0.7328000069
1.227e-06,0.7056999803
1.231e-06,0.8424000144
1.2360000000000001e-06,0.9218999743
1.24e-06,0.9524999857
1.244e-06,0.967599988
1.247e-06,0.9595000148
1.2530000000000001e-06,0.9226999879
1.255e-06,0.8930000067
1.258e-06,0.8529000282
1.26e-06,0.8022999763
1.265e-06,0.7501000166
1.2700000000000001e-06,0.6780999899
1.275e-06,0.6524000168
1.279e-06,0.638800025
1.286e-06,0.6424000263
1.292e-06,0.6485999823
1.297e-06,0.6823999882
1.302e-06,0.7529000044
1.305e-06,0.7759000063
1.3070000000000001e-06,0.8118000031
1.31e-06,0.77700001
1.313e-06,0.7210000157
1.316e-06,0.9524999857
1.319e-06,0.8550999761
1.323e-06,0.8414000273
1.326e-06,1.0
1.33e-06,0.8946999907
1.333e-06,0.8549000025
1.334e-06,0.537899971
1.336e-06,0.2799000144
1.339e-06,0.9064999819
1.343e-06,0.6893000007
1.3460000000000001e-06,0.5533000231
1.3490000000000001e-06,0.2432000041
1.353e-06,0.0143999998
1.355e-06,0.0002
1.3600000000000001e-06,0.0401000008
1.3630000000000001e-06,0.0044999998
1.37e-06,0.0003
1.373e-06,0.0372000001
1.3770000000000001e-06,0.0005
1.3830000000000001e-06,0.0
1.388e-06,0.0001
1.392e-06,0.0033
1.395e-06,0.0003
1.396e-06,0.0085000005
1.3970000000000001e-06,0.0253999997
1.398e-06,0.1184
1.4000000000000001e-06,0.0001
1.401e-06,0.0001
1.402e-06,0.052099999
1.404e-06,0.0104
1.406e-06,0.0478000008
1.407e-06,0.0004
1.41e-06,0.0024000001
1.412e-06,0.0052999998
1.416e-06,0.0086000003
1.421e-06,0.0007
1.426e-06,0.0003
1.4420000000000001e-06,0.0004
1.45e-06,0.0
