# Direct public reference output: SVO Filter Profile Service 2MASS Ks curve converted from cached VOTable XML.
# data_kind=svo_filter_curve
# filter_id=2MASS/2MASS.Ks
# source_class=direct_public_data
# source_note=SVO Filter Profile Service direct download for 2MASS/2MASS.Ks; profile reference http://www.ipac.caltech.edu/2mass/releases/allsky/doc/sec6_4a.html#rsr; 2MASS canonical paper DOI 10.1086/498708.
# source_id=SVO_2MASS_KS_DIRECT_20260622
# url=https://svo2.cab.inta-csic.es/theory/fps/fps.php?ID=2MASS%2F2MASS.Ks
# access_time=2026-06-22T20:49:48+00:00
# fallback_used=false
# wavelength_unit=m
# transmission_unit=dimensionless
wavelength_m,transmission
1.9e-06,0.0
1.915e-06,0.0
1.927e-06,0.0
1.934e-06,0.0002
1.939e-06,0.0005
1.9480000000000002e-06,0.0054000001
1.957e-06,0.0119000003
1.962e-06,0.0197000001
1.969e-06,0.0421999991
1.9760000000000002e-06,0.0873000026
1.981e-06,0.1527999938
1.989e-06,0.2481999993
1.99e-06,0.190200001
1.998e-06,0.2338999957
2.008e-06,0.2946000099
2.014e-06,0.3982000053
2.019e-06,0.3366000056
2.028e-06,0.6207000017
2.037e-06,0.7649999857
2.045e-06,0.7463999987
2.0610000000000003e-06,0.6251000166
2.0720000000000002e-06,0.7254999876
2.075e-06,0.6894999743
2.082e-06,0.787899971
2.0890000000000002e-06,0.8180999756
2.099e-06,0.8227999806
2.1060000000000002e-06,0.8633000255
2.113e-06,0.8777999878
2.12e-06,0.8549000025
2.124e-06,0.8952999711
2.138e-06,0.918900013
2.1450000000000002e-06,0.9268000126
2.155e-06,0.926699996
2.169e-06,0.9009000063
2.176e-06,0.9228000045
2.1850000000000003e-06,0.8428000212
2.197e-06,0.945900023
2.2080000000000003e-06,0.9804000258
2.2130000000000002e-06,0.9879000187
2.218e-06,0.9847999811
2.232e-06,0.9646999836
2.237e-06,0.9815999866
2.248e-06,0.9833999872
2.256e-06,0.9613000154
2.26e-06,0.9792000055
2.263e-06,1.0
2.265e-06,0.9631999731
2.2700000000000003e-06,0.9811999798
2.272e-06,0.9681000113
2.276e-06,0.9108999968
2.277e-06,0.9821000099
2.2810000000000003e-06,0.8895999789
2.284e-06,0.8917999864
2.2860000000000002e-06,0.9423999786
2.291e-06,0.8403999805
2.293e-06,0.8041999936
2.295e-06,0.7077000141
2.297e-06,0.6575999856
2.299e-06,0.5606999993
2.306e-06,0.4436999857
2.311e-06,0.3481999934
2.316e-06,0.2301999927
2.3200000000000002e-06,0.1625999957
2.325e-06,0.1360000074
2.328e-06,0.0921000019
2.335e-06,0.0623999983
2.339e-06,0.0430999994
2.344e-06,0.0340000018
2.346e-06,0.0309999995
2.352e-06,0.0118000004
2.361e-06,0.0068000001
2.363e-06,0.0007
2.37e-06,0.003
2.375e-06,0.0020999999
2.384e-06,0.0004
2.3990000000000002e-06,0.0
