case,median_residual_rms_rad,median_residual_opd_nm,std_residual_opd_nm,h_band_strehl,final_command_norm,median_tail_command_norm,noise_std,gain,delay_frames,latency_ms_at_1khz,stable_fraction,stable,n_trials,open_loop_opd_nm
gain_0.15_delay_0,2.1397002615326226,238.38071135055665,0.00830223962742363,0.4386677374836489,27.81708075029192,27.87865344912173,0.04069397989875161,0.15,0,0.0,1.0,True,3,445.63384065730696
gain_0.30_delay_0,1.924718829855913,214.42996108353208,0.019678851274894948,0.5133745272133434,30.955738310421566,31.43166868129409,0.04069397989875161,0.3,0,0.0,1.0,True,3,445.63384065730696
gain_0.45_delay_0,1.8528968750959092,206.42838769772808,0.010381404358713778,0.5390657251146395,31.836170999845756,32.586604814285764,0.04069397989875161,0.45,0,0.0,1.0,True,3,445.63384065730696
gain_0.60_delay_0,1.8295371206079987,203.8259134204133,0.020984678996028145,0.547476565689926,32.13085585892425,33.134529229453115,0.04069397989875161,0.6,0,0.0,1.0,True,3,445.63384065730696
gain_0.75_delay_0,1.8274773206296147,203.59643427657497,0.0233849853564464,0.5482193109368616,32.20694034783381,33.443072392698305,0.04069397989875161,0.75,0,0.0,1.0,True,3,445.63384065730696
gain_0.90_delay_0,1.8278659516430231,203.63973105935094,0.025266830743044,0.5480791610907789,32.197716629739055,33.57473560773016,0.04069397989875161,0.9,0,0.0,1.0,True,3,445.63384065730696
gain_0.15_delay_1,2.1994755260954797,245.04018153141985,0.008171334948841825,0.41866013591683415,28.788884036334164,28.612160823055937,0.04069397989875161,0.15,1,1.0,1.0,True,3,445.63384065730696
gain_0.30_delay_1,1.9472908368172046,216.94467362190798,0.012256086149173173,0.5053622158189881,32.26800888351841,32.44870111598892,0.04069397989875161,0.3,1,1.0,1.0,True,3,445.63384065730696
gain_0.45_delay_1,1.8932458274821764,210.92360235232584,0.002357561452156699,0.5245982598987309,33.47471671445563,33.490557697759805,0.04069397989875161,0.45,1,1.0,1.0,True,3,445.63384065730696
gain_0.60_delay_1,1.908650418816855,212.6398041523831,0.0030155470292341398,0.5190975523235516,33.89834378841395,34.02056274429184,0.04069397989875161,0.6,1,1.0,1.0,True,3,445.63384065730696
gain_0.75_delay_1,1.9046244351074486,212.1912755066715,0.0242243223918182,0.5205338598476722,33.610155517497,34.833316783724676,0.04069397989875161,0.75,1,1.0,1.0,True,3,445.63384065730696
gain_0.90_delay_1,2.0643754488482227,229.98888995722132,0.030204251051428054,0.46439582850725614,35.38143363877999,36.292154406092784,0.04069397989875161,0.9,1,1.0,1.0,True,3,445.63384065730696
gain_0.15_delay_2,2.291604605070378,255.30414035637097,0.005740300243860692,0.3886155006133049,29.923710563018975,29.396931050898942,0.04069397989875161,0.15,2,2.0,1.0,True,3,445.63384065730696
gain_0.30_delay_2,2.0038452921076795,223.2453184012521,0.007749652883763384,0.48544099788179185,33.417132699314685,33.79015262760243,0.04069397989875161,0.3,2,2.0,1.0,True,3,445.63384065730696
gain_0.45_delay_2,2.0757606619425113,231.25729901669874,0.026523231336131183,0.46047271042352084,35.3688674672545,34.78009651782461,0.04069397989875161,0.45,2,2.0,1.0,True,3,445.63384065730696
gain_0.60_delay_2,3.1582780222797533,351.8588912330225,0.04851566314729663,0.16608319832852375,46.96552001845181,42.00954772527396,0.04069397989875161,0.6,2,2.0,1.0,True,3,445.63384065730696
gain_0.75_delay_2,20.353698711614307,2267.574232109591,0.40978295715216934,4.152735050725922e-33,370.90621070558956,215.40622638607005,0.04069397989875161,0.75,2,2.0,0.0,False,3,445.63384065730696
gain_0.90_delay_2,111.9662409233889,12473.986491662783,2.448687111296117,0.0,12015.772875066532,1195.0079297470454,0.04069397989875161,0.9,2,2.0,0.0,False,3,445.63384065730696
gain_0.15_delay_3,2.4126957444237096,268.79471773126943,0.012079640338437007,0.3507466087335304,31.308063339476455,30.533844878755577,0.04069397989875161,0.15,3,3.0,1.0,True,3,445.63384065730696
gain_0.30_delay_3,2.240416601964097,249.6013637514134,0.009571297985940131,0.4051848913544398,36.06374558215914,36.24948811664154,0.04069397989875161,0.3,3,3.0,1.0,True,3,445.63384065730696
gain_0.45_delay_3,4.070609699813699,453.5003585862164,0.012944904930293509,0.050677609877392164,45.03483701469909,53.340124985281555,0.04069397989875161,0.45,3,3.0,0.0,False,3,445.63384065730696
gain_0.60_delay_3,23.091111451202675,2572.5451702613423,0.4331684351730219,2.10111743700388e-42,677.7638803540325,259.9072011725356,0.04069397989875161,0.6,3,3.0,0.0,False,3,445.63384065730696
gain_0.75_delay_3,114.56260439813265,12763.243348410882,1.1593236893664618,0.0,7873.367194353869,1262.5854394512899,0.04069397989875161,0.75,3,3.0,0.0,False,3,445.63384065730696
gain_0.90_delay_3,475.6629250470848,52992.87403675528,2.698638777231913,0.0,89122.24206382735,4998.693959535908,0.04069397989875161,0.9,3,3.0,0.0,False,3,445.63384065730696
