mode_index,singular_value_px_per_nm,relative_singular_value,kept_by_selected_rcond
0,0.00669695220584754,1.0,True
1,0.006696852512863497,0.9999851136784348,True
2,0.006563800834668304,0.9801176166282068,True
3,0.0064325265426370785,0.9605155218250513,True
4,0.00604843829548419,0.9031628283389732,True
5,0.00604836469284758,0.9031518378713176,True
6,0.005726236096353194,0.8550510620866083,True
7,0.005711246942386876,0.8528128567798375,True
8,0.0055671481114206375,0.8312957805730795,True
9,0.005481822277725929,0.8185547857037708,True
10,0.005481735740379574,0.8185418638038238,True
11,0.005112961227218443,0.763475842451733,True
12,0.0047153966304030095,0.7041108381041891,True
13,0.004456620906654728,0.6654700182514914,True
14,0.004456422687945669,0.665440419905413,True
15,0.0034115326294076685,0.5094157050171031,True
