center_x,center_y,shift_x_pix,shift_y_pix,flux_e,valid
-0.4375,-0.1875,-0.21620200755109575,0.08057210988800917,19777.725520269873,True
-0.4375,-0.0625,-0.19600990939803936,0.04190192834382861,19958.04096159174,True
-0.4375,0.0625,-0.23717054195147108,0.04379409706040316,20196.79312713115,True
-0.4375,0.1875,-0.20460136773563847,-0.007586487762462901,19728.484608529558,True
-0.3125,-0.3125,-0.17228864230733987,0.14598835139778188,19977.647388577552,True
-0.3125,-0.1875,-0.16965378941644116,0.10703733236174584,19907.931242741117,True
-0.3125,-0.0625,-0.16570115918527578,0.08593123237054429,20032.12755056217,True
-0.3125,0.0625,-0.14614680830793386,0.023522613002607273,19874.257991748866,True
-0.3125,0.1875,-0.21699534111188068,-0.011176180306219585,19837.230321067756,True
-0.3125,0.3125,-0.12339881550787912,-0.08069861845984172,19953.108408548836,True
-0.1875,-0.4375,-0.17108222729879408,0.21715195706693002,19655.35780073519,True
-0.1875,-0.3125,-0.11384783616460742,0.09176331864142107,19991.040031187273,True
-0.1875,-0.1875,-0.08758828418855913,0.1344057724488455,19829.934088469796,True
-0.1875,-0.0625,-0.06748931599824509,0.08276730442387087,20042.79439642008,True
-0.1875,0.0625,-0.06697374847142984,0.02407484660580883,20243.5979164836,True
-0.1875,0.1875,-0.14494912144549177,-0.016502357527100386,19906.503947525933,True
-0.1875,0.3125,-0.09410278838133451,0.006337055902137567,19978.487348459665,True
-0.1875,0.4375,-0.0388458915465652,-0.04030005735611214,19853.306206387446,True
-0.0625,-0.4375,-0.029989760242331798,0.152356730434894,19935.018714872513,True
-0.0625,-0.3125,-0.024594011932932536,0.11743768712751174,19826.786228835495,True
-0.0625,-0.1875,-0.020833805062037025,0.10820337482936676,20137.194425584137,True
-0.0625,-0.0625,-0.05296943519146319,0.06158699624102809,19842.341723580852,True
-0.0625,0.0625,-0.0035454391233439297,0.0244110614421727,19924.976937353706,True
-0.0625,0.1875,-0.01700838793683257,-0.01439396116734526,20185.031567574482,True
-0.0625,0.3125,-0.013679322505915137,-0.06605345821566422,19928.934284131625,True
-0.0625,0.4375,-0.08789471834152524,-0.06684183860494225,19877.938114612563,True
0.0625,-0.4375,0.06014844855006618,0.15486744703222238,19974.07879594998,True
0.0625,-0.3125,0.07496436604042045,0.09489094977460644,19924.37265998304,True
0.0625,-0.1875,0.08778267048556343,0.053298790855342004,19930.74428092106,True
0.0625,-0.0625,0.015645622346953547,0.033567830428836265,19995.677313658904,True
0.0625,0.0625,0.08685110298098142,0.01803414068301945,20152.201006678966,True
0.0625,0.1875,0.06370696767100292,-0.029618922769085176,20168.668933695677,True
0.0625,0.3125,0.04913681840718476,-0.016847071226889665,20161.719833226955,True
0.0625,0.4375,0.029469780463185935,-0.13227988294931087,20030.99824605309,True
0.1875,-0.4375,0.10882779366033118,0.1314578664796634,19896.589679003024,True
0.1875,-0.3125,0.14171661037281758,0.11056473644158948,19968.235770625965,True
0.1875,-0.1875,0.1351379353075659,0.10505302394300836,20064.952544258325,True
0.1875,-0.0625,0.11104027017159657,0.0674404087220738,20107.097086535017,True
0.1875,0.0625,0.08267470793042131,0.036632870826235286,19874.492393253044,True
0.1875,0.1875,0.13937985543087728,0.006519778134562337,20000.98333452172,True
0.1875,0.3125,0.12776809969811498,-0.034540892983869975,20289.692872747135,True
0.1875,0.4375,0.12633142110417606,-0.07441295867459058,19790.413300901473,True
0.3125,-0.3125,0.1928156395124147,0.13625045565847033,20097.437054682283,True
0.3125,-0.1875,0.19406832069560298,0.09745644373401446,20067.36883316623,True
0.3125,-0.0625,0.16028926921292375,0.09165446552205403,19668.12965362214,True
0.3125,0.0625,0.17786889086783297,0.04635050500259846,20073.95581196055,True
0.3125,0.1875,0.20111736472096098,-0.034126867942160466,19945.44021417785,True
0.3125,0.3125,0.21371385847650842,-0.02956404811092661,19815.99540907854,True
0.4375,-0.1875,0.1498782585056162,0.07011071919249917,19759.033426386723,True
0.4375,-0.0625,0.19301862328343267,0.022273944388082223,19916.351723870815,True
0.4375,0.0625,0.26412130981176357,-0.028934274556835726,20133.49271109922,True
0.4375,0.1875,0.267335051603562,-0.00872293727858331,19749.70892116001,True
