# Direct public reference output: ESO Paranal ASM one-hour time series for the demo atmosphere anchor.
# data_kind=eso_asm_timeseries
# source_class=direct_public_data
# source_note=ESO Paranal ASM API direct JSON query over 2024-07-29T09:00:00Z to 2024-07-29T10:00:00Z; fields dimm_paranal-fwhm, mass_paranal-tau0, mass_paranal-tet0, mass_paranal-turb_speed.
# source_id=ESO_ASM_PARANAL_20240729_0900_1000_TIMESERIES
# url=https://www.eso.org/asm/api/?from=2024-07-29T09%3A00%3A00Z&to=2024-07-29T10%3A00%3A00Z&fields=dimm_paranal-fwhm%2Cmass_paranal-tau0%2Cmass_paranal-tet0%2Cmass_paranal-turb_speed
# access_time=2026-06-22T17:47:51+00:00
# fallback_used=false
# time_unit=ms_unix
# seeing_unit=arcsec
# tau0_unit=s
# theta0_unit=arcsec
# turbulence_speed_unit=m/s
unix_time_ms,seeing_arcsec_500nm,tau0_s,theta0_arcsec,turbulence_speed_ms
1722243655000,0.856,0.00371,1.757,9.46
1722243734000,0.813,0.003899,1.704,8.88
1722243813000,0.92,0.003588,1.561,9.72
1722243894000,0.901,0.00327,1.594,9.6
1722243973000,0.954,0.003309,1.625,9.07
1722244052000,0.91,0.003629,1.647,8.53
1722244131000,0.886,0.003719,1.765,9.46
1722244211000,0.968,0.003577,1.742,10.0
1722244290000,0.915,0.003874,1.823,8.22
1722244370000,0.829,0.003826,1.876,8.69
1722244450000,0.746,0.004018,1.865,9.82
1722244529000,0.756,0.003999,1.723,9.86
1722244608000,0.658,0.004141,1.919,10.18
1722244687000,0.726,0.003932,1.807,9.68
1722244766000,0.658,0.003741,1.829,12.56
1722244846000,0.694,0.003413,1.69,13.67
1722244926000,0.771,0.003515,1.708,10.98
1722245005000,0.774,0.003773,1.929,9.57
1722245084000,0.813,0.003673,1.713,10.19
1722245164000,0.793,0.003079,1.596,10.62
1722245243000,0.837,0.003231,1.639,10.98
1722245323000,0.779,0.003635,1.662,9.82
1722245402000,0.843,0.00328,1.682,10.68
1722245481000,0.88,0.003716,1.773,8.77
1722245561000,0.692,0.004121,1.941,9.82
1722245640000,0.761,0.003939,1.89,10.34
1722245720000,0.773,0.003661,1.919,10.08
1722245799000,0.871,0.003265,1.751,10.73
1722245878000,0.761,0.003852,2.02,10.07
1722245958000,0.771,0.003499,1.733,11.03
1722246039000,0.877,0.003054,1.62,11.43
1722246120000,0.881,0.002922,1.519,11.66
1722246200000,0.843,0.003054,1.581,11.84
1722246280000,0.959,0.003041,1.656,10.0
1722246369000,0.949,0.003365,1.656,9.39
1722246449000,1.033,0.00314,1.672,9.39
1722246528000,1.103,0.002961,1.619,9.84
1722246608000,1.065,0.003102,1.535,9.27
1722246687000,0.985,0.003032,1.613,9.96
1722246767000,1.093,0.003271,1.661,7.84
1722246847000,1.112,0.003182,1.644,8.22
1722246926000,1.106,0.00352,1.681,7.51
1722247005000,0.899,0.003791,1.779,8.65
1722247084000,0.897,0.00403,2.031,8.27
1722247163000,0.987,0.003709,1.841,7.56
