# Direct public reference output: SVO Filter Profile Service 2MASS H curve converted from cached VOTable XML.
# data_kind=svo_filter_curve
# filter_id=2MASS/2MASS.H
# source_class=direct_public_data
# source_note=SVO Filter Profile Service direct download for 2MASS/2MASS.H; profile reference http://www.ipac.caltech.edu/2mass/releases/allsky/doc/sec6_4a.html#rsr; 2MASS canonical paper DOI 10.1086/498708.
# source_id=SVO_2MASS_H_DIRECT_20260622
# url=https://svo2.cab.inta-csic.es/theory/fps/fps.php?ID=2MASS%2F2MASS.H
# access_time=2026-06-22T20:49:48+00:00
# fallback_used=false
# wavelength_unit=m
# transmission_unit=dimensionless
wavelength_m,transmission
1.289e-06,0.0
1.3150000000000001e-06,0.0
1.341e-06,0.0
1.368e-06,0.0
1.3970000000000001e-06,0.0
1.418e-06,0.0
1.44e-06,0.0005
1.4620000000000001e-06,0.0027999999
1.478e-06,0.0081000002
1.486e-06,0.0286999997
1.4930000000000001e-06,0.0870999992
1.5040000000000001e-06,0.2013999969
1.5150000000000001e-06,0.4381999969
1.528e-06,0.6863999963
1.539e-06,0.8180999756
1.546e-06,0.8820999861
1.551e-06,0.9118000269
1.556e-06,0.9269000292
1.565e-06,0.9293000102
1.5720000000000002e-06,0.872699976
1.577e-06,0.8565999866
1.5830000000000001e-06,0.8826000094
1.592e-06,0.9180999994
1.5970000000000001e-06,0.926699996
1.602e-06,0.9075999856
1.613e-06,0.925999999
1.619e-06,0.9204999804
1.6280000000000001e-06,0.9241999984
1.633e-06,0.9235000014
1.6420000000000001e-06,0.9417999983
1.6480000000000001e-06,0.9491000175
1.657e-06,0.980700016
1.6590000000000001e-06,0.9937000275
1.671e-06,1.0
1.684e-06,0.956099987
1.701e-06,0.9240999818
1.715e-06,0.9821000099
1.7270000000000002e-06,0.991599977
1.739e-06,0.9886999726
1.746e-06,0.9792000055
1.751e-06,0.9682000279
1.753e-06,0.9369999766
1.756e-06,0.9190000296
1.764e-06,0.8422999978
1.7750000000000002e-06,0.6671000123
1.785e-06,0.2694000006
1.79e-06,0.4515999854
1.796e-06,0.1730999947
1.8030000000000001e-06,0.1076999977
1.81e-06,0.0706999972
1.813e-06,0.0051000002
1.818e-06,0.0199999996
1.8280000000000001e-06,0.0004
1.835e-06,0.0
1.85e-06,0.0001
1.8710000000000002e-06,0.0
1.8930000000000001e-06,0.0
1.9140000000000002e-06,0.0
