# Direct public reference output: MAST Pan-STARRS DR2 mean catalog cone query near the demo guide-star field.
# data_kind=target_photometry
# source_class=direct_public_data
# source_note=MAST Pan-STARRS DR2 mean catalog cone query; Pan-STARRS1 Surveys arXiv:1612.05560 and database/data-products arXiv:1612.05243.
# source_id=MAST_PANSTARRS_DR2_MEAN_DEMO_NGS_BRIGHT_20260622
# url=https://catalogs.mast.stsci.edu/api/v0.1/panstarrs/dr2/mean.csv?ra=83.6331&dec=-5.3911&radius=0.02&nDetections.gte=1&pagesize=20&columns=%5BobjID%2CobjName%2CraMean%2CdecMean%2CnDetections%2CgMeanPSFMag%2CrMeanPSFMag%2CiMeanPSFMag%2CzMeanPSFMag%2CyMeanPSFMag%2CgMeanPSFMagErr%2CrMeanPSFMagErr%2CiMeanPSFMagErr%2CzMeanPSFMagErr%2CyMeanPSFMagErr%5D
# access_time=2026-06-22T20:49:48+00:00
# fallback_used=false
# ra_unit=deg
# dec_unit=deg
# magnitude_unit=mag
target_id,ra_deg,dec_deg,panstarrs_g_mag,panstarrs_r_mag,panstarrs_i_mag,panstarrs_z_mag,panstarrs_y_mag,panstarrs_n_detections
PS1_101500836297539800,83.62982187,-5.40887426,,15.874200,20.748600,,,2
PS1_101500836292338943,83.62918300402332,-5.4093241645352474,,17.729601,20.962799,,18.472601,6
PS1_101500836360418305,83.63613576,-5.41012721,20.086000,,,,,1
PS1_101500836290249709,83.62908228277534,-5.4087737995930985,,,20.985001,18.513300,18.599800,8
PS1_101500836266598547,83.62666835,-5.40987159,,,,20.055000,,1
PS1_101500836284759122,83.62848702,-5.4093898,,,,,19.639299,1
PS1_101500836292078262,83.62920598,-5.41010272,,,21.058901,,,1
PS1_101500836292649325,83.62927347,-5.40922288,,,,19.290400,,1
PS1_101500836294159640,83.62943321,-5.40895428,,,,,18.704500,1
PS1_101500836302158644,83.63022652,-5.40978854,,,,,19.790701,1
PS1_101500836306109339,83.63061116,-5.40920277,,,20.911200,,,1
PS1_101500836332819071,83.63328942,-5.40943692,,,,19.829599,,1
PS1_101500836338937349,83.63386858,-5.41078812,,,21.078400,,,1
PS1_101500836342348243,83.63422086,-5.41006691,,,21.020201,,,1
PS1_101500836343477719,83.63433389,-5.41050308,,,20.940300,,,1
PS1_101500836345838887,83.63459504,-5.40958949,,,21.516100,,,1
PS1_101500836349877176,83.63500413,-5.41100771,,,,,18.916599,1
PS1_101500836357038965,83.63571654,-5.40951877,,,,,18.589701,1
PS1_101500836357628623,83.63576927,-5.40980901,,,,,19.096600,1
